# Errors generated by Wave window user hook hdsAddWaveButtons: can't read "hdsModelSimIsPre56": no such variable
# can't read "hdsModelSimIsPre56": no such variable
#     while executing
# "if {$hdsModelSimIsPre56} {
#       return 0
#    } else {
#       return 1
#    }"
#     (procedure "hdsDoubleClickIsBound" line 6)
#     invoked from within
# "hdsDoubleClickIsBound $treeWidget"
#     (procedure "hdsAddWaveButtons" line 66)
#     invoked from within
# "hdsAddWaveButtons .main_pane.wave.interior.cs.body.pw.wf"
#     ("eval" body line 1)
#     invoked from within
# "eval [concat $p $winname]"Errors generated by List window user hook hdsAddListButtons: can't read "hdsModelSimIsPre56": no such variable
# can't read "hdsModelSimIsPre56": no such variable
#     while executing
# "if {$hdsModelSimIsPre56} {
#       return 0
#    } else {
#       return 1
#    }"
#     (procedure "hdsDoubleClickIsBound" line 6)
#     invoked from within
# "hdsDoubleClickIsBound $tableWidget"
#     (procedure "hdsAddListButtons" line 22)
#     invoked from within
# "hdsAddListButtons .main_pane.list.interior.cs.body"
#     ("eval" body line 1)
#     invoked from within
# "eval [concat $p $winname]"Errors generated by List window user hook hdsAddListButtons: can't read "hdsModelSimIsPre56": no such variable
# can't read "hdsModelSimIsPre56": no such variable
#     while executing
# "if {$hdsModelSimIsPre56} {
#       return 0
#    } else {
#       return 1
#    }"
#     (procedure "hdsDoubleClickIsBound" line 6)
#     invoked from within
# "hdsDoubleClickIsBound $tableWidget"
#     (procedure "hdsAddListButtons" line 22)
#     invoked from within
# "hdsAddListButtons .main_pane.list1.interior.cs.body"
#     ("eval" body line 1)
#     invoked from within
# "eval [concat $p $winname]"//  ModelSim SE 10.1d Nov  1 2012 Linux 2.6.32-220.23.1.el6.x86_64
# //
# //  Copyright 1991-2012 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  THIS WORK CONTAINS TRADE SECRET AND PROPRIETARY INFORMATION
# //  WHICH IS THE PROPERTY OF MENTOR GRAPHICS CORPORATION OR ITS
# //  LICENSORS AND IS SUBJECT TO LICENSE TERMS.
# //
# vsim -L ece411 -l transcript.txt -i -multisource_delay latest -t ns +typdelays -foreign {hdsInit /software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll} -pli {"/software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll"} ece411.mp2_CPU(struct) 
# Loading /software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll
# Loading std.standard
# Loading std.textio(body)
# Loading ieee.std_logic_1164(body)
# Loading ieee.numeric_std(body)
# Loading work.lc3b_types(body)
# Loading work.mp2_cpu(struct)#1
# Loading work.clkgen(untitled)#1
# Loading work.control(fsm)#1
# Loading work.dramauditor(untitled)#1
# Loading ieee.std_logic_arith(body)
# Loading work.datapath(struct)#1
# Loading work.adj11(untitled)#1
# Loading work.adj6(untitled)#1
# Loading work.adj9(untitled)#1
# Loading work.alu(untitled)#1
# Loading work.bradd(untitled)#1
# Loading work.destmux(untitled)#1
# Loading work.gencc(untitled)#1
# Loading work.imm4(untitled)#1
# Loading work.imm5(untitled)#1
# Loading work.ir(untitled)#1
# Loading work.jsrradd(untitled)#1
# Loading work.nzbsplit(untitled)#1
# Loading work.nzp(untitled)#1
# Loading work.plus2(untitled)#1
# Loading work.reg16(untitled)#1
# Loading work.regfile(untitled)#1
# Loading work.storemux(untitled)#1
# Loading work.wordmux2(untitled)#1
# Loading work.wordmux4(untitled)#1
# Loading work.byteup(untitled)#1
# Loading work.zext8(untitled)#1
# Loading work.zextshifttrap(untitled)#1
# Loading work.memory(struct)#1
# Loading work.cache_controller(fsm)#1
# Loading work.cache_datapath(struct)#1
# Loading work.dataarray(untitled)#1
# Loading work.dataoutoffset(untitled)#1
# Loading work.lru_and_tags(struct)#1
# Loading work.owordmux2(untitled)#1
# Loading work.myand(untitled)#1
# Loading work.myor(untitled)#1
# Loading work.newtagbuilder(untitled)#1
# Loading work.towriteornot(untitled)#1
# Loading work.writeway(untitled)#1
# Loading work.breakupaddress(untitled)#1
# Loading work.delayblock(untitled)#1
# Loading work.nand2(untitled)#1
# Loading work.nor2(untitled)#1
# Loading work.offset(untitled)#1
# Loading work.tagcheck(untitled)#1
# Loading work.tagflagsplit(untitled)#1
# Loading work.writebackaddr(untitled)#1
# Loading work.physical_memory(untitled)#1
# ** Warning: (vsim-8684) No drivers exist on out port /mp2_cpu/DRAM/Cache_DP/U_4/Hit0/newTag(127 downto 23), and its initial value is not used.
# Therefore, simulation behavior may occur that is not in compliance with
# the VHDL standard as the initial values come from the base signal /mp2_cpu/DRAM/Cache_DP/U_4/newTag2(127 downto 23).
# ** Warning: (vsim-8684) No drivers exist on out port /mp2_cpu/DRAM/Cache_DP/U_4/Hit1/newTag(127 downto 23), and its initial value is not used.
# Therefore, simulation behavior may occur that is not in compliance with
# the VHDL standard as the initial values come from the base signal /mp2_cpu/DRAM/Cache_DP/U_4/newTag3(127 downto 23).
# ** Warning: (vsim-8684) No drivers exist on out port /mp2_cpu/DRAM/Cache_DP/U_4/MissLru0/newTag(127 downto 23), and its initial value is not used.
# Therefore, simulation behavior may occur that is not in compliance with
# the VHDL standard as the initial values come from the base signal /mp2_cpu/DRAM/Cache_DP/U_4/newTag(127 downto 23).
# ** Warning: (vsim-8684) No drivers exist on out port /mp2_cpu/DRAM/Cache_DP/U_4/MissLru1/newTag(127 downto 23), and its initial value is not used.
# Therefore, simulation behavior may occur that is not in compliance with
# the VHDL standard as the initial values come from the base signal /mp2_cpu/DRAM/Cache_DP/U_4/newTag1(127 downto 23).
# ** Warning: (vsim-8683) Uninitialized out port /mp2_cpu/DRAM/Cache_DP/ReplaceCache has no driver.
# This port will contribute value (U) to the signal network.
do /home/page10/ece411/mp2.2/compile/list.do
do wave.do
# ** Error: (vish-4014) No objects found matching '/mp2_cpu/DRAM/Cache_Cont/WriteTagsFlags'.
# Executing ONERROR command at macro ./wave.do line 30
restart -f
# Loading /software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll
# ** Warning: (vsim-8684) No drivers exist on out port /mp2_cpu/DRAM/Cache_DP/U_4/Hit0/newTag(127 downto 23), and its initial value is not used.
# Therefore, simulation behavior may occur that is not in compliance with
# the VHDL standard as the initial values come from the base signal /mp2_cpu/DRAM/Cache_DP/U_4/newTag2(127 downto 23).
# ** Warning: (vsim-8684) No drivers exist on out port /mp2_cpu/DRAM/Cache_DP/U_4/Hit1/newTag(127 downto 23), and its initial value is not used.
# Therefore, simulation behavior may occur that is not in compliance with
# the VHDL standard as the initial values come from the base signal /mp2_cpu/DRAM/Cache_DP/U_4/newTag3(127 downto 23).
# ** Warning: (vsim-8684) No drivers exist on out port /mp2_cpu/DRAM/Cache_DP/U_4/MissLru0/newTag(127 downto 23), and its initial value is not used.
# Therefore, simulation behavior may occur that is not in compliance with
# the VHDL standard as the initial values come from the base signal /mp2_cpu/DRAM/Cache_DP/U_4/newTag(127 downto 23).
# ** Warning: (vsim-8684) No drivers exist on out port /mp2_cpu/DRAM/Cache_DP/U_4/MissLru1/newTag(127 downto 23), and its initial value is not used.
# Therefore, simulation behavior may occur that is not in compliance with
# the VHDL standard as the initial values come from the base signal /mp2_cpu/DRAM/Cache_DP/U_4/newTag1(127 downto 23).
# ** Warning: (vsim-8683) Uninitialized out port /mp2_cpu/DRAM/Cache_DP/ReplaceCache has no driver.
# This port will contribute value (U) to the signal network.
do mp22-final.do
# --- Executing initialization force file for ../testcode/mp22-final.asm --- 
# Resetting processor for 5 ns. 
# Initializing the processor. 
# Done initializing processor, loading ../testcode/mp22-final.asm program code. 
# ** Warning: NUMERIC_STD.TO_INTEGER: metavalue detected, returning 0
#    Time: 0 ns  Iteration: 0  Instance: /mp2_cpu/DRAM/PDRAM
# ** Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
#    Time: 0 ns  Iteration: 0  Instance: /mp2_cpu/DRAM/Cache_DP/tagCheck1
# ** Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
#    Time: 0 ns  Iteration: 0  Instance: /mp2_cpu/DRAM/Cache_DP/tagCheck0
# ** Warning: NUMERIC_STD.TO_INTEGER: metavalue detected, returning 0
#    Time: 0 ns  Iteration: 0  Instance: /mp2_cpu/DRAM/Cache_DP/U_2
# ** Warning: NUMERIC_STD.TO_INTEGER: metavalue detected, returning 0
#    Time: 0 ns  Iteration: 0  Instance: /mp2_cpu/DRAM/Cache_DP/U_2
# ** Warning: NUMERIC_STD.TO_INTEGER: metavalue detected, returning 0
#    Time: 0 ns  Iteration: 0  Instance: /mp2_cpu/DRAM/Cache_DP/U_2
# ** Warning: NUMERIC_STD.TO_INTEGER: metavalue detected, returning 0
#    Time: 0 ns  Iteration: 0  Instance: /mp2_cpu/DRAM/Cache_DP/U_2
# ** Warning: NUMERIC_STD.TO_INTEGER: metavalue detected, returning 0
#    Time: 0 ns  Iteration: 0  Instance: /mp2_cpu/DRAM/Cache_DP/tagsFlags
# ** Warning: NUMERIC_STD.TO_INTEGER: metavalue detected, returning 0
